data;close;volume
12/02/2020;55.88;10526400
13/02/2020;56.99;13744600
14/02/2020;56.27;9170000
17/02/2020;58.79;18443800
18/02/2020;58.16;9558500
19/02/2020;57.8;9128500
20/02/2020;56.48;11139500
21/02/2020;56.39;9585500
26/02/2020;52.82;13429100
27/02/2020;50.19;14704700
28/02/2020;50.46;19699800
02/03/2020;52.49;16152900
03/03/2020;52.79;14598000
04/03/2020;52.39;11335600
05/03/2020;47.74;21196500
06/03/2020;45.28;28342800
09/03/2020;40.32;24193300
10/03/2020;46.94;20449000
11/03/2020;43.03;19865900
12/03/2020;33.96;17382600
13/03/2020;41.95;30014900
16/03/2020;34.03;22901700
17/03/2020;35.53;26965600
18/03/2020;28.78;30321600
19/03/2020;30.52;28124000
20/03/2020;30.62;28205200
23/03/2020;30.18;21345500
24/03/2020;36.64;20589000
25/03/2020;39.96;31132800
26/03/2020;41.07;22797700
27/03/2020;38.96;17001100
30/03/2020;41.55;18840800
31/03/2020;38.95;24160000
01/04/2020;37.44;18327800
02/04/2020;35.85;20393700
03/04/2020;35.5;16400100
06/04/2020;38.16;16178600
07/04/2020;40.05;19569700
08/04/2020;41.91;15726400
09/04/2020;41.6;12903600
13/04/2020;41.86;8403600
14/04/2020;42.85;11121500
15/04/2020;43.8;13484900
16/04/2020;45.52;14483300
17/04/2020;44.54;12044900
20/04/2020;48.43;19782300
22/04/2020;50.49;22217600
23/04/2020;49.42;17454600
24/04/2020;47.33;26316100
27/04/2020;49.45;17433100
28/04/2020;51.74;14422400
29/04/2020;50.56;16629100
30/04/2020;49.65;11407400
04/05/2020;51.38;13030600
05/05/2020;50.14;12722600
06/05/2020;55.09;29665000
07/05/2020;56.73;23102100
08/05/2020;55.48;13801000
11/05/2020;54.89;8385600
12/05/2020;54.74;10155600
13/05/2020;55.04;12276700
14/05/2020;55.44;13317600
15/05/2020;55.07;8728100
18/05/2020;55.69;10305800
19/05/2020;58.52;14834700
20/05/2020;56.84;12024000
21/05/2020;58.23;10508200
22/05/2020;57.59;10946600
25/05/2020;60.33;10836600
26/05/2020;64.41;25522400
27/05/2020;67.29;14062100
28/05/2020;65.18;13549800
29/05/2020;64.28;16747800
01/06/2020;63.63;8753800
02/06/2020;61.73;18500000
03/06/2020;62.31;19531500
04/06/2020;60.42;12725900
05/06/2020;59.38;19266500
08/06/2020;62.31;20546600
09/06/2020;62.31;11402200
10/06/2020;64.53;19720500
12/06/2020;63.88;17041700
15/06/2020;65.78;14602800
16/06/2020;65.93;15534200
17/06/2020;67.12;19249000
18/06/2020;69.62;19405200
19/06/2020;71.32;19977100
22/06/2020;70.82;9261000
23/06/2020;70.17;7313600
24/06/2020;69.72;10636100
25/06/2020;69.61;7876500
26/06/2020;69.27;8181400
29/06/2020;70.33;8194800
30/06/2020;71.57;12786800
01/07/2020;72.22;8795100
02/07/2020;70.02;10680200
03/07/2020;71.92;7038300
06/07/2020;71.91;8107200
07/07/2020;74.64;12363700
08/07/2020;76.62;11615800
09/07/2020;79.31;11588100
10/07/2020;80.09;12928900
13/07/2020;80.41;11108400
14/07/2020;80.41;14112100
15/07/2020;81.41;12704400
16/07/2020;80.09;11116300
17/07/2020;81.91;10960900
20/07/2020;86.9;10783600
21/07/2020;84.21;15198000
22/07/2020;84.56;10726500
23/07/2020;80.31;12631800
24/07/2020;79.58;13518700
27/07/2020;79.26;10078500
28/07/2020;80.31;7426500
29/07/2020;80.12;6288300
30/07/2020;83.2;11296300
31/07/2020;80.71;11271300
03/08/2020;82.57;9449200
04/08/2020;82.5;7814900
05/08/2020;83.0;7522800
06/08/2020;85.91;10960200
07/08/2020;85.65;11551600
10/08/2020;81.93;15089600
11/08/2020;80.99;10574800
12/08/2020;80.06;10945800
13/08/2020;80.45;15732400
14/08/2020;81.76;10578500
17/08/2020;81.65;14449900
18/08/2020;89.5;31751400
19/08/2020;89.7;13554600
20/08/2020;87.35;13551900
21/08/2020;87.35;8174000
24/08/2020;87.08;7754400
25/08/2020;88.0;8185300
26/08/2020;90.15;17223600
27/08/2020;91.98;12657600
28/08/2020;94.58;9764400
31/08/2020;93.22;11117900
01/09/2020;95.33;8750500
02/09/2020;93.51;10098000
03/09/2020;88.5;21078800
04/09/2020;88.77;22414500
08/09/2020;87.69;11217500
09/09/2020;91.2;11371900
10/09/2020;88.25;16326800
11/09/2020;87.57;11928200
14/09/2020;90.3;12360200
15/09/2020;89.58;11321100
16/09/2020;89.17;9181600
17/09/2020;87.1;12262800
18/09/2020;87.16;14953700
21/09/2020;88.7;15170600
22/09/2020;89.49;13110000
23/09/2020;86.48;10695000
24/09/2020;89.3;12058000
25/09/2020;90.63;10697600
28/09/2020;87.47;15632600
29/09/2020;87.48;9514100
30/09/2020;89.2;11651200
